problem_id,pred_answer,is_correct,num_shape
0,0,False,2
1,0,False,2
2,0,True,2
3,0,False,2
4,1,False,2
5,0,False,2
6,0,False,2
7,0,False,2
8,0,False,2
9,4,True,2
10,0,True,2
11,0,False,2
12,0,False,2
13,1,False,2
14,0,False,2
15,0,True,2
16,0,False,2
17,0,False,2
18,0,False,2
19,0,False,2
20,0,False,2
21,0,True,2
22,0,False,2
23,0,True,2
24,0,False,2
25,0,False,2
26,0,True,2
27,0,False,2
28,1,False,2
29,2,True,2
30,0,False,2
31,0,False,2
32,0,False,2
33,2,True,2
34,0,False,2
35,0,False,2
36,0,False,2
37,0,True,2
38,1,False,2
39,2,True,2
40,0,False,3
41,0,False,3
42,1,False,3
43,1,False,3
44,1,True,3
45,0,False,3
46,0,False,3
47,3,False,3
48,2,False,3
49,2,False,3
50,0,True,3
51,2,False,3
52,1,False,3
53,0,False,3
54,0,False,3
55,2,False,3
56,1,False,3
57,0,False,3
58,0,False,3
59,3,False,3
60,0,False,3
61,0,False,3
62,0,False,3
63,4,False,3
64,0,False,3
65,0,False,3
66,0,False,3
67,2,False,3
68,0,False,3
69,2,False,3
70,0,False,3
71,2,True,3
72,0,False,3
73,4,True,3
74,0,True,3
75,3,False,3
76,0,False,3
77,0,False,3
78,3,False,3
79,5,False,3
80,0,False,4
81,6,False,4
82,6,False,4
83,1,False,4
84,0,False,4
85,1,False,4
86,7,True,4
87,0,False,4
88,0,False,4
89,0,False,4
90,4,False,4
91,2,False,4
92,0,False,4
93,4,False,4
94,5,False,4
95,0,False,4
96,3,False,4
97,0,False,4
98,0,False,4
99,5,False,4
100,4,False,4
101,2,False,4
102,4,False,4
103,0,False,4
104,1,True,4
105,0,False,4
106,1,False,4
107,0,False,4
108,0,False,4
109,3,False,4
110,1,False,4
111,0,False,4
112,0,False,4
113,4,False,4
114,2,False,4
115,0,False,4
116,1,False,4
117,0,False,4
118,1,False,4
119,0,False,4
