problem_id,pred_answer,is_correct,num_shape
0,0,False,2
1,0,False,2
2,0,True,2
3,0,False,2
4,0,False,2
5,0,False,2
6,0,False,2
7,0,False,2
8,0,False,2
9,0,False,2
10,0,True,2
11,0,False,2
12,0,False,2
13,0,False,2
14,0,False,2
15,0,True,2
16,0,False,2
17,0,False,2
18,0,False,2
19,0,False,2
20,0,False,2
21,0,True,2
22,0,False,2
23,0,True,2
24,0,False,2
25,0,False,2
26,0,True,2
27,0,False,2
28,0,False,2
29,0,False,2
30,0,False,2
31,0,False,2
32,0,False,2
33,0,False,2
34,0,False,2
35,0,False,2
36,0,False,2
37,0,True,2
38,0,False,2
39,0,False,2
40,0,False,3
41,0,False,3
42,0,False,3
43,0,False,3
44,0,False,3
45,0,False,3
46,0,False,3
47,0,False,3
48,0,False,3
49,0,False,3
50,0,True,3
51,0,False,3
52,0,False,3
53,0,False,3
54,0,False,3
55,0,False,3
56,0,True,3
57,0,False,3
58,0,False,3
59,0,False,3
60,0,False,3
61,0,False,3
62,0,False,3
63,0,False,3
64,0,False,3
65,0,False,3
66,0,False,3
67,0,False,3
68,0,False,3
69,0,False,3
70,0,False,3
71,0,False,3
72,0,False,3
73,0,False,3
74,0,True,3
75,0,False,3
76,0,False,3
77,0,False,3
78,0,False,3
79,0,False,3
80,0,False,4
81,0,False,4
82,0,False,4
83,0,False,4
84,0,False,4
85,0,False,4
86,0,False,4
87,0,False,4
88,0,False,4
89,0,False,4
90,0,False,4
91,0,False,4
92,0,False,4
93,0,False,4
94,0,False,4
95,0,False,4
96,0,False,4
97,0,False,4
98,0,False,4
99,0,False,4
100,0,False,4
101,0,False,4
102,0,False,4
103,0,False,4
104,0,False,4
105,0,False,4
106,0,False,4
107,0,False,4
108,0,False,4
109,0,False,4
110,0,False,4
111,0,False,4
112,0,False,4
113,0,False,4
114,0,False,4
115,0,False,4
116,0,False,4
117,0,False,4
118,0,False,4
119,0,False,4
